from,to,distance
13,254,87.2
257,102,132.2
99,150,122.2
254,257,23.3
150,14,122.0
102,100,23.9
103,99,25.6
198,192,25.5
197,221,28.3
221,346,185.0
345,16,103.1
346,345,21.8
15,198,320.8
149,15,55.7
16,347,75.1
136,149,136.9
347,135,117.1
107,136,109.5
135,110,110.8
110,117,25.5
113,107,17.0
117,118,78.2
117,119,78.2
124,113,149.3
118,125,79.5
119,125,79.5
4,124,119.5
320,124,119.5
125,128,127.5
125,129,127.5
155,4,174.9
155,320,174.9
70,4,174.9
70,320,174.9
128,184,237.3
128,185,237.3
129,184,237.3
129,185,237.3
223,155,243.9
223,70,243.9
71,155,243.9
71,70,243.9
184,174,168.7
184,341,168.7
185,174,168.7
185,341,168.7
220,223,22.1
220,71,22.1
72,223,22.1
72,71,22.1
174,171,29.4
174,342,29.4
341,171,29.4
341,342,29.4
204,220,293.9
204,72,293.9
74,220,293.9
74,72,293.9
171,211,286.1
171,63,286.1
342,211,286.1
342,63,286.1
211,208,25.9
211,64,25.9
63,208,25.9
63,64,25.9
201,204,24.9
201,74,24.9
75,204,24.9
75,74,24.9
2,201,324.8
2,75,324.8
77,201,324.8
77,75,324.8
3,2,31.3
3,77,31.3
78,2,31.3
78,77,31.3
208,242,547.6
208,243,547.6
64,242,547.6
64,243,547.6
5,3,246.7
5,78,246.7
242,190,57.1
243,190,57.1
6,5,20.5
190,229,56.9
227,6,48.3
228,6,48.3
196,227,193.0
196,228,193.0
237,227,193.0
237,228,193.0
229,234,235.8
229,235,235.8
200,196,21.2
200,237,21.2
232,196,21.2
232,237,21.2
281,200,146.7
281,232,146.7
282,200,146.7
282,232,146.7
234,277,139.9
234,278,139.9
235,277,139.9
235,278,139.9
277,284,32.0
277,287,32.0
278,284,32.0
278,287,32.0
266,281,70.7
266,282,70.7
267,281,70.7
267,282,70.7
284,264,30.2
284,268,30.2
287,264,30.2
287,268,30.2
271,266,44.8
271,267,44.8
272,266,44.8
272,267,44.8
145,263,174.2
263,9,576.2
340,339,22.6
339,161,228.3
161,271,371.7
161,272,371.7
264,9,679.4
268,9,679.4
161,146,457.7
146,178,576.7
178,182,31.4
183,180,22.9
182,323,366.5
324,183,376.2
337,336,31.5
334,335,28.6
336,19,130.5
18,334,140.0
21,18,160.6
23,18,160.6
19,354,289.1
19,283,289.1
19,28,289.1
19,30,289.1
354,274,78.8
354,275,78.8
354,31,78.8
283,274,78.8
283,275,78.8
283,31,78.8
28,274,78.8
28,275,78.8
28,31,78.8
30,274,78.8
30,275,78.8
30,31,78.8
274,350,73.9
274,27,73.9
275,350,73.9
275,27,73.9
31,350,73.9
31,27,73.9
270,21,284.1
270,23,284.1
32,21,284.1
32,23,284.1
350,351,26.0
350,24,26.0
27,351,26.0
27,24,26.0
351,352,49.8
351,26,49.8
24,352,49.8
24,26,49.8
73,270,104.4
73,32,104.4
76,270,104.4
76,32,104.4
352,90,89.3
352,94,89.3
26,90,89.3
26,94,89.3
90,82,33.4
90,85,33.4
94,82,33.4
94,85,33.4
256,73,178.0
256,76,178.0
258,73,178.0
258,76,178.0
65,73,178.0
65,76,178.0
82,33,86.4
85,33,86.4
33,273,102.2
33,40,102.2
187,256,115.3
187,258,115.3
187,65,115.3
188,256,115.3
188,258,115.3
188,65,115.3
269,187,13.6
269,188,13.6
34,187,13.6
34,188,13.6
163,168,29.5
163,91,29.5
89,168,29.5
89,91,29.5
193,169,33.8
193,87,33.8
88,169,33.8
88,87,33.8
7,8,34.1
7,86,34.1
84,8,34.1
84,86,34.1
1,0,33.6
1,93,33.6
92,0,33.6
92,93,33.6
160,111,29.5
160,120,29.5
